controller,speed_kmh,target_force_N,mean_force_N,std_force_N,cv_percent,min_force_N,max_force_N,contact_loss_percent,NoC,ATR_percent,effort_N2s,mechanical_work_J,signed_mechanical_work_J,trial,scenario_seed,measurement_noise_std_N,actuator_delay_s,actuator_time_constant_s,irregularity_scale,mass_scale_1,mass_scale_2,mass_scale_3,stiffness_scale_1,stiffness_scale_2,stiffness_scale_3,damping_scale_3,contact_stiffness_scale
Passive,300.0,157.3,165.84448610409547,97.31938562807285,58.68111018595365,81.9375737464322,460.6572883266884,0.0,0,0.0,0.0,0.0,0.0,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
Continuous,300.0,157.3,163.82251491422272,92.6297051727072,56.54271955305289,90.5028916857207,461.43147592629674,0.0,1,100.0,73.81443110719198,1.62992142556144,-0.5199472565232034,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
T-APIC,300.0,157.3,165.9895933400644,95.96300860384586,57.81266564539716,87.9594475158729,466.75289658142714,0.0,8,27.594936708860757,21.36166516314982,0.6006503081535943,-0.1910722476101889,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
E-APIC,300.0,157.3,166.68819614265854,95.99312082828072,57.58843340420212,87.95943128336107,470.1815810624587,0.0,6,18.73417721518987,15.195198082613585,0.37606752384065034,-0.05248105247738272,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
ME-APIC,300.0,157.3,165.85771834801398,96.16083827421129,57.97790976024405,86.80754737933525,464.820444262225,0.0,7,22.531645569620252,14.893019311087096,0.47354223304527443,-0.10204261709475344,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
Passive,350.0,188.825,191.63259810726137,167.03763639681046,87.1655647560106,91.41614180154141,1002.1870775135984,0.0,0,0.0,0.0,0.0,0.0,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
Continuous,350.0,188.825,190.7538367904606,165.1331317106764,86.56870786408975,99.88974716809878,989.6182157042655,0.0,1,99.99999999999999,130.86365315256518,2.8306470075275296,-1.1609870871961316,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
T-APIC,350.0,188.825,192.78274406041047,166.97270409433617,86.6118515472596,98.58411218520439,982.753165658808,0.0,7,26.923076923076923,21.64623207963012,0.8470941174089717,-0.1554221905047729,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
E-APIC,350.0,188.825,192.74618797001247,168.32775044932498,87.33129937465404,98.58411218520439,987.8978344805894,0.0,7,27.36686390532544,50.17580931942756,1.247019205825047,-0.5189281169070421,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
ME-APIC,350.0,188.825,191.4567886026038,165.98769276733438,86.6972093174851,96.84140525625922,983.9353946169063,0.0,7,22.928994082840234,24.4401053156923,0.8047271487072083,-0.46263087895389077,0,202237189,2.0,0.005,0.015,0.9294111037858581,0.977735286904033,1.0683014900774386,0.9658873870096214,0.9007147274221264,1.0612987522970652,0.9562367097774847,1.0347920679102154,0.9210956013172273
